id, AccountGameNumber, SeasonGameNumber, Rank, Map, PlacementMatch, IfPlacementWLD, createdAt, updatedAt, GamertagId, SeasonNumber, UserUuid
,1,1,0,PLACEMENT,1,,1000-01-01 00:00:00,1000-01-01 00:00:00,PRACT1CEACC0UNT,7,92380492-5303-4dab-9abd-20a64e1cdbab
,2,2,0,PLACEMENT,1,,1000-01-01 00:00:00,1000-01-01 00:00:00,PRACT1CEACC0UNT,7,92380492-5303-4dab-9abd-20a64e1cdbab
,3,3,0,PLACEMENT,1,,1000-01-01 00:00:00,1000-01-01 00:00:00,PRACT1CEACC0UNT,7,92380492-5303-4dab-9abd-20a64e1cdbab
,4,4,0,PLACEMENT,1,,1000-01-01 00:00:00,1000-01-01 00:00:00,PRACT1CEACC0UNT,7,92380492-5303-4dab-9abd-20a64e1cdbab
,5,5,0,PLACEMENT,1,,1000-01-01 00:00:00,1000-01-01 00:00:00,PRACT1CEACC0UNT,7,92380492-5303-4dab-9abd-20a64e1cdbab
,6,6,0,PLACEMENT,1,,1000-01-01 00:00:00,1000-01-01 00:00:00,PRACT1CEACC0UNT,7,92380492-5303-4dab-9abd-20a64e1cdbab
,7,7,0,PLACEMENT,1,,1000-01-01 00:00:00,1000-01-01 00:00:00,PRACT1CEACC0UNT,7,92380492-5303-4dab-9abd-20a64e1cdbab
,8,8,0,PLACEMENT,1,,1000-01-01 00:00:00,1000-01-01 00:00:00,PRACT1CEACC0UNT,7,92380492-5303-4dab-9abd-20a64e1cdbab
,9,9,0,PLACEMENT,1,,1000-01-01 00:00:00,1000-01-01 00:00:00,PRACT1CEACC0UNT,7,92380492-5303-4dab-9abd-20a64e1cdbab
,10,10,2636,PLACEMENT,1,,1000-01-01 00:00:00,1000-01-01 00:00:00,PRACT1CEACC0UNT,7,92380492-5303-4dab-9abd-20a64e1cdbab
,11,11,2701,Temple of Anubis,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,PRACT1CEACC0UNT,7,92380492-5303-4dab-9abd-20a64e1cdbab
,12,12,2757,King's Row,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,PRACT1CEACC0UNT,7,92380492-5303-4dab-9abd-20a64e1cdbab
,13,13,2713,Hollywood,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,PRACT1CEACC0UNT,7,92380492-5303-4dab-9abd-20a64e1cdbab
,14,14,2758,Lijiang Tower,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,PRACT1CEACC0UNT,7,92380492-5303-4dab-9abd-20a64e1cdbab
,15,15,2718,Dorado,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,PRACT1CEACC0UNT,7,92380492-5303-4dab-9abd-20a64e1cdbab
