id, AccountGameNumber, SeasonGameNumber, Rank, Map, PlacementMatch, IfPlacementWLD, createdAt, updatedAt, GamertagId, SeasonNumber, UserUuid
1,1819,1,0,PLACEMENT,1,W,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
2,1820,2,0,PLACEMENT,1,W,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
3,1821,3,0,PLACEMENT,1,W,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
4,1822,4,0,PLACEMENT,1,W,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
5,1823,5,0,PLACEMENT,1,W,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
6,1824,6,0,PLACEMENT,1,W,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
7,1825,7,0,PLACEMENT,1,W,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
8,1826,8,0,PLACEMENT,1,L,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
9,1827,9,0,PLACEMENT,1,L,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
10,1828,10,3171,PLACEMENT,1,L,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
11,1829,11,3142,Numbani,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
12,1830,12,3162,Hollywood,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
13,1831,13,3132,Watchpoint: Gibraltar,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
14,1832,14,3105,Temple of Anubis,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
15,1833,15,3082,Oasis,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
16,1834,16,3063,Horizon Lunar Colony,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
17,1835,17,3039,Nepal,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
18,1836,18,3061,Volskaya Industries,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
19,1837,19,3082,Ilios,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
20,1838,20,3058,Eichenwalde,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
21,1839,21,3078,Horizon Lunar Colony,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
22,1840,22,3078,Temple of Anubis,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
23,1841,23,3104,Route 66,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
24,1842,24,3118,Volskaya Industries,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
25,1843,25,3118,Eichenwalde,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
26,1844,26,3143,Ilios,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
27,1845,27,3110,Nepal,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
28,1846,28,3084,Lijiang Tower,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
29,1847,29,3060,Hanamura,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
30,1848,30,3033,Dorado,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
31,1849,31,3051,Oasis,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
32,1850,32,3078,Hollywood,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
33,1851,33,3101,Hanamura,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
34,1852,34,3078,Dorado,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
35,1853,35,3100,Temple of Anubis,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
36,1854,36,3075,Volskaya Industries,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
37,1855,37,3107,Numbani,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
38,1856,38,3080,Watchpoint: Gibraltar,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
39,1857,39,3102,Hollywood,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
40,1858,40,3074,Lijiang Tower,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
41,1859,41,3094,Ilios,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
42,1860,42,3112,Hanamura,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
43,1861,43,3137,Temple of Anubis,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
